analysis_id,game_id,cluster_id,cluster_probability,source_path,coordinate_action_rate,frame_changed_rate,changed_cells_mean,small_change_rate_1_8,large_change_rate_33_plus,progress_rate,game_over_rate,win_rate,unique_after_hash_rate,initial_component_count
ar25-0c556536_seed0,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed0.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed1,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed1.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed10,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed10.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed11,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed11.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed12,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed12.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed13,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed13.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed14,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed14.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed15,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed15.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed16,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed16.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed17,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed17.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed18,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed18.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed19,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed19.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed2,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed2.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed20,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed20.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed21,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed21.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed22,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed22.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed23,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed23.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
