env_id,transitions,top_family,top_score,confidence,key_actions,second_family,second_score,second_actions
ar25/0c556536,80,click_select,16.50,high,ACTION6,toggle,11.00,ACTION5
bp35/0a0ad940,80,click_select,30.00,high,ACTION6,toggle,13.00,"ACTION6,ACTION7"
cd82/fb555c5d,80,toggle,27.00,high,"ACTION1,ACTION2,ACTION5,ACTION6",click_select,19.50,ACTION6
cn04/2fe56bfb,80,click_select,19.50,high,ACTION6,toggle,9.00,"ACTION1,ACTION2,ACTION4,ACTION5,ACTION6"
dc22/fdcac232,80,click_select,24.00,high,ACTION6,toggle,6.00,ACTION6
ft09/0d8bbf25,80,click_select,120.00,high,ACTION6,collection,0.50,
g50t/5849a774,80,toggle,24.00,high,"ACTION2,ACTION4,ACTION5",collection,0.50,
ka59/38d34dbb,80,click_select,24.00,high,ACTION6,toggle,19.00,"ACTION1,ACTION2,ACTION6"
lf52/271a04aa,80,toggle,54.00,high,"ACTION1,ACTION2,ACTION3,ACTION4",click_select,19.50,ACTION6
lp85/305b61c3,80,click_select,120.00,high,ACTION6,collection,0.50,
ls20/9607627b,80,collection,0.50,low,,push_block,0.50,
m0r0/492f87ba,80,click_select,19.50,high,ACTION6,toggle,11.00,"ACTION5,ACTION6"
r11l/495a7899,80,click_select,120.00,high,ACTION6,toggle,31.00,ACTION6
re86/8af5384d,80,toggle,16.00,high,ACTION5,collection,0.50,
s5i5/18d95033,80,click_select,120.00,high,ACTION6,toggle,60.00,ACTION6
sb26/7fbdac44,80,click_select,40.50,high,ACTION6,toggle,27.00,ACTION5
sc25/635fd71a,80,click_select,24.00,high,ACTION6,collection,2.50,progress=ACTION6
sk48/d8078629,80,toggle,30.00,high,"ACTION2,ACTION4,ACTION6",click_select,19.50,ACTION6
sp80/589a99af,80,click_select,19.50,high,ACTION6,toggle,4.00,"ACTION5,ACTION6"
su15/1944f8ab,80,click_select,60.00,high,ACTION6,collection,2.50,progress=ACTION6
tn36/ef4dde99,80,click_select,120.00,high,ACTION6,toggle,80.00,ACTION6
tr87/cd924810,80,collection,0.50,low,,push_block,0.50,
tu93/0768757b,80,toggle,41.00,high,"ACTION1,ACTION2,ACTION3,ACTION4",collection,2.50,progress=ACTION2
vc33/5430563c,80,click_select,120.00,high,ACTION6,toggle,66.00,ACTION6
wa30/ee6fef47,80,toggle,7.00,high,ACTION5,collection,0.50,
